"ลำดับ","ชื่อชุดการแสดง","ผลการตัดคำ"
"102","ระบำเซียงแสน","เป็น | ระบำโบราณคดี | ที่ | สร้างสรรค์ | ท่า | รำ | จาก | ภาพจิตรกรรมฝาผนัง | และ | ลาย | ปูนปั้น | ยุค | อาณาจักร | เชียงแสน |   | ประมาณ | พุทธศตวรรษ | ที่ |   | 16 |   | - |   | 23 |   | ที่ | ปรากฏ | ใน | โบราณสถาน |   | ลีลา | ท่า | รำ | และ | เสียงดนตรี | ภาคเหนือ | และ | ภาคตะวันออกเฉียงเหนือ"
"103","ระบำทวารวดี ","เป็น | ระบำโบราณคดี | ที่ | สร้างสรรค์ | ท่า | รำ | จาก | โบราณวัตถุ | ภาพ | จิตรกรรม | และ | ประติมากรรม |   | ใน | สมัยทวารวดี | ประมาณ | พุทธศตวรรษ | ที่ |   | 12 |   | - |   | 16 |   | ลีลา | ท่า | รำ | และ | เสียงดนตรี |   | ตลอดจน | เครื่องแต่งกาย | มี | แบบอย่าง | จาก | เชื้อชาติ | มอญ |   | อันเป็น | ชน | เผ่า | ดั้งเดิม | ใน | ดินแดน | ทวารวดี"
"104","ระบำลพบุรี","เป็น | ระบำโบราณคดี | ที่ | สร้างสรรค์ | ท่า | รำ | เลียนแบบ | ประติมากรรม | และ | ภาพจำหลัก | สมัยลพบุรี |   | ที่ | ปรากฏ | บน | ทับหลัง | และ | หน้าบัน | ของ | ปราสาทหินพิมาย |   | จังหวัด | นครราชสีมา |   | และ | ปราสาทพนมรุ้ง |   | จังหวัด | บุรีรัมย์ |   | อันเป็น | ศิลปะ | แบบ | ขอม | ระหว่าง | พุทธศตวรรษ | ที่ |   | 12 |   | - |   | 13 |   | ดังนั้น |   | วัฒนธรรม | จาก | ดินแดน | ใน | ยุค | นี้ |   | จึง | ส่งผล | ต่อ | การ | สร้างสรรค์ | ท่า | รำ |   | ดนตรี |   | และ | เครื่องแต่งกาย"
"105","ระบำศรีวิชัย","เป็น | ระบำโบราณคดี | ที่ | สร้างสรรค์ | ท่า | รำ | จาก | หลักฐาน | ศิลปกรรม | และ | โบราณวัตถุ | สมัยศรีวิชัย |   | มี | อาณาจักร | ตั้งอยู่ | บน | แหลมมลายู |   | บริเวณ | จังหวัด | ชุมพร |   | ปัตตานี |   | นครศรีธรรมราช | และ | หมู่เกาะ | อินโดนีเซีย |   | ราว | พุทธศตวรรษ | ที่ |   | 13 | - | 18 |   | ดังนั้น |   | วัฒนธรรม | จาก | ดินแดน | ใน | ยุค | นี้ |   | จึง | ส่งผล | ต่อ | การ | สร้างสรรค์ | ท่า | รำ |   | ดนตรี |   | และ | เครื่องแต่งกาย"
"106","ระบำสุโขทัย","เป็น | ระบำโบราณคดี | ที่ | สร้างสรรค์ | ท่า | รำ | จาก | ประติมากรรม | พระพุทธรูป | ปูนปั้น | และ | พระพุทธรูป | หล่อสำริด | ปางลีลา | สมัยสุโขทัย | ระหว่าง | พุทธศตวรรษ | ที่ |   | 19 |   | - |   | 20 |   | ดังนั้น |   | ท่า | รำ | และ | ดนตรี | ตลอดจน | เครื่องแต่งกาย | จึง | มี | รูปแบบ | จาก | สมัยสุโขทัย"
"107","ฉุยฉายทศกัณฐ์ลงสวน","เป็น | การแสดง | ชุด | หนึ่ง | ใน | การแสดง | โขน | เรื่อง | รามเกียรติ์ |   | กล่าวถึง | ทศกัณฐ์ | เจ้า | กรุงลงกา | แสดง | ลีลา | ท่า | รำ | ด้วย | ความภาคภูมิใจ | ใน | ความสง่างาม | ของ | ตน |   | โดย | มือขวา | ถือ | พัด | และ | คล้อง | พวงมาลัย | เพื่อ | ไป | เกี้ยว | นาง | สีดา"
"108","ฉุยฉายเบญกาย","เป็น | การแสดง | ชุด | หนึ่ง | ใน | การแสดง | โขน | เรื่อง | รามเกียรติ์ | กล่าวถึง | นาง | เบญกาย |   | แสดง | ลีลา | ท่า | รำ | ด้วย | ความภาคภูมิใจ | ใน | ความงาม | ของ | ตน | ที่ | สามารถ | แปลงกาย | ได้ | งดงาม | เหมือน | นาง | สีดา |   | เพื่อ | ทำ | อุบาย | ตามคำสั่ง | ของ | ทศกัณฐ์ |   | ใน | การยุติ | สงคราม | กับ | พระราม"
"109","ฉุยฉายพราหมณ์","เป็น | การแสดง | ชุด | หนึ่ง | ปรากฏ | ใน | การแสดง | เบิกโรง | ชุด | พระคเณศ | เสีย | งา |   | กล่าวถึง |   | พระนารายณ์ | แปลงกาย | เป็น | พราหมณ์ | น้อย |   | ร่ายรำ | อย่าง | งดงาม | เพื่อ | ขอพร | ต่อ | พระอุมา | มเหสี | ของ | พระอิศวร |   | ผู้ | เป็น | เทพเจ้า | องค์ | หนึ่ง | ตาม | ความเชื่อ | ของ | ชาว | ฮินดู"
"110","ฉุยฉายยอพระกลิ่น","ฉุยฉาย | ยอพระกลิ่น |   | เป็น | การแสดง | ชุด | หนึ่ง | ใน | การแสดง | ละครนอก |   | เรื่อง | มณีพิชัย |   | กล่าวถึง | นาง | ยอพระกลิ่น | นางเอก | ของ | เรื่อง | แสดง | ลีลา | ท่า | รำ | ด้วย | ความภาคภูมิใจ | ใน | ความงาม | ของ | ตน | ก่อน | ออกเดินทาง | ไป | พบ | พระ | มณีพิชัย | ผู้ | เป็น | พระสวามี"
"111","ฉุยฉายวันทอง","เป็น | การแสดง | ชุด | หนึ่ง | อยู่ | ใน | การ | แสดงละคร | เรื่อง | ขุนช้าง | ขุนแผน |   | กล่าวถึง | นาง | วันทอง | มารดา | ของ | พระไวย | ซึ่ง | เสียชีวิต | ไป | แล้ว |   | แต่ | ยังคง | มี | ความห่วงใย | บุตร |   | จึง | แปลงกาย | เป็น | สาวงาม | แสดง | ลีลา | ท่า | รำ | ด้วย | ความภาคภูมิใจ | ใน | ความงาม | ของ | ตน |   | เพื่อ | ไป | แจ้ง | กลอุบาย | ศึก | แก่ | พระไวย | ผู้ | เป็น | บุตรชาย"
"112","ฉุยฉายศูรปนขา","เป็น | การแสดง | ชุด | หนึ่ง | อยู่ | ใน | การแสดง | โขน | เรื่อง | รามเกียรติ์ |   | กล่าวถึง | นาง | ศูรปนขา | ยักษิณี | ผู้ | เป็น | น้องสาว | ทศกัณฐ์ |   | แปลงกาย | เป็น | สาวงาม | แสดง | ลีลา | ท่า | รำ | ด้วย | ความภาคภูมิใจ | ใน | ความงาม | ของ | ตน |   | เพื่อ | ไป | เกี้ยวพาราสี | พระราม"
"113","ฉุยฉายหนุมานทรงเครื่อง","เป็น | การแสดง | ชุด | หนึ่ง | อยู่ | ใน | การแสดง | โขน | เรื่อง | รามเกียรติ์ |   | กล่าวถึง | หนุมาน | วานร | กาย | สี | ขาว | ทหารเอก | ของ | พระราม | ทำ | อุบาย | ไป | เป็น | ฝ่าย | ทศกัณฐ์ |   | แสดง | การ | แต่ง | องค์ | ทรง | เครื่องแบบ | ยักษ์ |   | ด้วย | ลีลา | การร่ายรำ | ผสมผสาน | กิริยา | ของ | วานร |   | ก่อน | ออกเดินทาง |   | ไป | ร่วม | ทำสงคราม | ครั้งสุดท้าย | ระหว่าง | พระราม | กับ | ทศกัณฐ์"
"114","ชุมนุมฉุยฉาย","ชุมนุม | ฉุยฉาย |   | เป็น | การแสดง | ชุด | หนึ่ง | ที่ | พัฒนา | รูปแบบ | การร้อง | รำ | ฉุยฉาย |   | โดย | รวบรวม | ตัวละคร | ประเภท | ต่าง ๆ |   | การรำ | สื่อ | ถึง | ความภาคภูมิใจ |   | ใน | ความงาม | ของ | ตัวละคร |   | ผู้แสดง | แต่งกาย | ยืนเครื่อง | ตาม | ลักษณะ | ตัวละคร |   | พระ | - | นาง |   | พราหมณ์ |   | ยักษ์ |   | และ | ลิง"
"115","กราววีรชัยลิง","กราววีรชัยลิง |   | เป็น | การแสดง | การ | จัด | พล | ของ | เหล่า | วานร | สิบแปดมงกุฎ | 
 | ซึ่ง | เป็น | เสนา | วานร | ของ | กองทัพ | พระราม | ใน | เรื่อง | รามเกียรติ์ | 
 | กระบวน | ลีลา | ท่าทาง |   | มี | ความคล่องแคล่ว |   | ว่องไว | และ | ความเข้มแข็ง |   | โดย | นำ | ท่าทาง | มาจาก | การรำ | ตรวจ | พล |   | ท่าทาง | การต่อสู้ |   | และ | ท่าทาง | เลียนแบบ | กิริยาอาการ | ซุกซน | ของ | ลิง | มา | สร้างสรรค์ | เป็น | ท่า | รำ"
