ลำดับ,ชื่อชุดการแสดง,คำอธิบายชุดการแสดง,ผลการตัดคำ
81,ระบำเทพบันเทิง ,"เป็นระบำมาตรฐานที่อยู่ในละครในเรื่องอิเหนา ผู้แสดงแต่งกายยืนเครื่องพระ-นาง เปรียบเสมือนเทพบุตร เทพธิดา ร่ายรำด้วยลีลาท่ารำที่งดงามเพื่อบูชาชาถวายเทพผู้ศักดิ์สิทธิ์ คือ ""องค์ปะตาระกาหลา"" นอกจากนี้ สามารถจัดแสดงในงานต่างๆ เพื่อความเป็นสิริมงคล","เป็น | ระบำมาตรฐาน | ที่อยู่ | ใน | ละครใน | เรื่อง | อิเหนา |   | ผู้แสดง | แต่งกายยืนเครื่องพระ-นาง |   | เปรียบเสมือน | เทพบุตร |   | เทพธิดา |   | ร่ายรำ | ด้วย | ลีลา | ท่า | รำ | ที่ | งดงาม | เพื่อ | บูชา | ชา | ถวาย | เทพ | ผู้ | ศักดิ์สิทธิ์ |   | คือ |   | "" | องค์ปะตาระกาหลา | "" |   | นอกจากนี้ |   | สามารถ | จัดแสดง | ใน | งาน | ต่างๆ |   | เพื่อ | ความ | เป็น | สิริมงคล"
82,ระบำนพรัตน์,เป็นระบำที่สร้างสรรค์จากความเชื่อในคุณค่าของอัญมณี ที่เสริมความเป็นสิริมงคลแก่ผู้ประดับ โดยผู้แสดงเปรียบเสมือนอัญมณี 9 ชนิด ประกอบด้วย เพชร ทับทิม มรกต บุษราคัม โกเมน นิล มุก เพทาย และไพฑูรย์,เป็น | ระบำ | ที่ | สร้างสรรค์ | จาก | ความเชื่อ | ใน | คุณค่า | ของ | อัญมณี |   | ที่ | เสริม | ความ | เป็น | สิริมงคล | แก่ | ผู้ | ประดับ |   | โดย | ผู้แสดง | เปรียบเสมือน | อัญมณี |   | 9 |   | ชนิด |   | ประกอบด้วย |   | เพชร |   | ทับทิม |   | มรกต |   | บุษราคัม |   | โกเมน |   | นิล |   | มุก |   | เพทาย |   | และ | ไพฑูรย์
83,ระบำพรมมาสตร์,เป็นระบำของเหล่าเทวดานางฟ้า สำหรับแสดงประกอบการแสดงโขน เรื่องรามเกียรติ์ ชุดศึกพรหมาสตร์ เนื้อเรื่องกล่าวถึงอินทรชิตโอรสของทศกัณฐ์ กำลังทำสงครามติดพันอยู่กับพระลักษมณ์ จึงใช้กลยุทธลวงพระลักษมณ์และกองทัพวานร โดยอินทรชิตได้แปลงกายเป็นพระอินทร์ และให้การุณราชแปลงตัวเป็นช้างเอราวัณ ซึ่งเป็นพาหนะทรงของตน อีกทั้งให้บรรดาพลยักษ์นักรบในกองทัพแปลงกายเป็นเทพบุตร และนางฟ้า พากันเหาะฟ้อนรำ นำขบวนไปหน้าช้าง เพื่อลวงพระลักษมณ์ และกองทัพวานร ว่าขบวนเสด็จของพระอินทร์กำลังเสด็จผ่านมาในกลางอากาศ,เป็น | ระบำ | ของ | เหล่า | เทวดา | นางฟ้า |   | สำหรับ | แสดง | ประกอบ | การแสดง | โขน |   | เรื่อง | รามเกียรติ์ |   | ชุด | ศึก | พรหมาสตร์ |   | เนื้อเรื่อง | กล่าวถึง | อินทรชิต | โอรส | ของ | ทศกัณฐ์ |   | กำลัง | ทำสงคราม | ติดพัน | อยู่ | กับ | พระลักษมณ์ |   | จึง | ใช้ | กลยุทธ | ลวง | พระลักษมณ์ | และ | กองทัพ | วานร |   | โดย | อินทรชิต | ได้ | แปลงกาย | เป็น | พระอินทร์ |   | และ | ให้ | การุณราช | แปลงตัว | เป็น | ช้างเอราวัณ |   | ซึ่ง | เป็น | พาหนะ | ทรง | ของ | ตน |   | อีก | ทั้ง | ให้ | บรรดา | พล | ยักษ์ | นักรบ | ใน | กองทัพ | แปลงกาย | เป็น | เทพบุตร |   | และ | นางฟ้า |   | พา | กัน | เหาะ | ฟ้อนรำ |   | นำ | ขบวน | ไป | หน้า | ช้าง |   | เพื่อ | ลวง | พระลักษมณ์ |   | และ | กองทัพ | วานร |   | ว่า | ขบวน | เสด็จ | ของ | พระอินทร์ | กำลัง | เสด็จ | ผ่าน | มา | ใน | กลางอากาศ
84,ระบำย่องหงิด,เป็นระบำที่อยู่ในละครในเรื่องอุณรุท ตอนศุภลักษณ์วาดรูปซึ่งมีเนื้อเรื่องกล่าวถึง นางศุภลักษณ์พี่เลี้ยงของนางอุษาได้ขออาสาขึ้นไปวาดรูปเทพบุตรบนสวรรค์ ขณะที่นางศุภลักษณ์ขึ้นไปบนสวรรค์นั้น ได้พบกับเหล่าเทพบุตรเทพธิดาจับระบำกันด้วยความรื่นเริง บันเทิงใจ ระบำย่องหงิด เป็นระบำที่มีกระบวนท่ารำที่งดงามและมีการแปรแถวที่สอดประสานกันได้อย่างกลมกลืนตามรูปแบบนาฏศิลป์ไทยท่วงท่าต่าง ๆ มีลีลางดงามตามคำร้อง และทำนองเพลงลักษณะการแสดงเป็นการรำเป็นหมู่คู่กันระหว่างเทวดาและนางฟ้า,เป็น | ระบำ | ที่อยู่ | ใน | ละครใน | เรื่อง | อุณรุท |   | ตอน | ศุภลักษณ์ | วาดรูป | ซึ่ง | มี | เนื้อเรื่อง | กล่าวถึง |   | นาง | ศุภลักษณ์ | พี่เลี้ยง | ของ | นาง | อุษา | ได้ | ขอ | อาสา | ขึ้นไป | วาดรูป | เทพบุตร | บน | สวรรค์ |   | ขณะที่ | นาง | ศุภลักษณ์ | ขึ้นไป | บน | สวรรค์ | นั้น |   | ได้ | พบ | กับ | เหล่า | เทพบุตร | เทพธิดา | จับระบำ | กัน | ด้วย | ความรื่นเริง |   | บันเทิงใจ |   | ระบำ | ย่องหงิด |   | เป็น | ระบำ | ที่ | มี | กระบวนท่ารำ | ที่ | งดงาม | และ | มี | การแปร | แถว | ที่ | สอด | ประสานกัน | ได้ | อย่าง | กลมกลืน | ตาม | รูปแบบ | นาฏศิลป์ | ไทย | ท่วงท่า | ต่าง ๆ |   | มี | ลีลา | งดงาม | ตาม | คำร้อง |   | และ | ทำนองเพลง | ลักษณะ | การแสดง | เป็น | การรำ | เป็น | หมู่ | คู่ | กัน | ระหว่าง | เทวดา | และ | นางฟ้า
85,ระบำวิชนี,"สร้างสรรค์ขึ้นด้วยแนวคิดความนิยมในการใช้พัด เพื่อบรรเทาความร้อนจากสภาพอากาศของประเทศไทย ผู้แสดงเป็นหญิงสาวแต่งกายชุดนางในราชสำนัก มือขวาถือพัด ""วิชนี"" ร่ายรำตามทำนองเพลงและบทร้อง","สร้างสรรค์ | ขึ้น | ด้วย | แนวคิด | ความนิยม | ใน | การ | ใช้ | พัด |   | เพื่อ | บรรเทา | ความร้อน | จาก | สภาพอากาศ | ของ | ประเทศไทย |   | ผู้แสดง | เป็น | หญิงสาว | แต่งกาย | ชุด | นางใน | ราชสำนัก |   | มือขวา | ถือ | พัด |   | "" | วิชนี | "" |   | ร่ายรำ | ตาม | ทำนองเพลง | และ | บทร้อง"
86,ระบำศรีชยสิงห์,เป็นระบำที่สร้างสรรค์ท่ารำและเครื่องแต่งกายเลียนแบบภาพจำหลักของนางอัปสราบายน บริเวณปราสาทเมืองสิงห์ ริมแม่น้ำแควน้อย จังหวัดกาญจนบุรี ปรากฏในจารึกปราสาทพระขรรค์ สมัยพระเจ้าชัยวรมันที่ 7 ว่าดินแดนแถบนี้มีวัฒนธรรมดั้งเดิมผสมผสานระหว่าง มอญ ขอม และไทย,เป็น | ระบำ | ที่ | สร้างสรรค์ | ท่า | รำ | และ | เครื่องแต่งกาย | เลียนแบบ | ภาพจำหลัก | ของ | นางอัปสราบายน |   | บริเวณ | ปราสาทเมืองสิงห์ |   | ริมแม่น้ำ | แควน้อย |   | จังหวัด | กาญจนบุรี |   | ปรากฏ | ใน | จารึก | ปราสาทพระขรรค์ |   | สมัย | พระเจ้าชัยวรมัน | ที่ |   | 7 |   | ว่า | ดินแดน | แถบ | นี้ | มีวัฒนธรรม | ดั้งเดิม | ผสมผสาน | ระหว่าง |   | มอญ |   | ขอม |   | และ | ไทย
87,รำซัดชาตรี,เป็นการแสดงที่ปรับปรุงมาจากการรำซัดไหว้ครูในการแสดงละครชาตรี เป็นรูปแบบการรำเบิกโรงก่อนการแสดงละครในลักษณะการรำคู่ ประกอบด้วยผู้แสดงฝ่ายชายและผู้แสดงฝ่ายหญิงแสดงลีลาท่ารำรวดเร็วตามท่วงทำนองดนตรี,เป็น | การแสดง | ที่ | ปรับปรุง | มาจาก | การ | รำซัด | ไหว้ครู | ใน | การแสดง | ละครชาตรี |   | เป็น | รูปแบบ | การรำ | เบิกโรง | ก่อน | การแสดง | ละครใน | ลักษณะ | การ | รำคู่ |   | ประกอบด้วย | ผู้แสดงฝ่ายชาย | และ | ผู้แสดงฝ่ายหญิง | แสดง | ลีลา | ท่า | รำ | รวดเร็ว | ตาม | ท่วงทำนอง | ดนตรี
88,รำเบิกโรงดอกไม้เงินทอง,เป็นระบำเบิกโรงละครในพระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัวโปรดให้ประดิษฐ์ขึ้นใหม่โดยใช้ผู้แสดงสองคนแต่งกายยืนเครื่องพระ มือขวาถือดอกไม้ทองส่วนมือซ้ายถือดอกไม้เงิน ร่ายรำตามบทร้องและทำนองเพลง มุ่งให้เกิดความสวัสดิมงคลแก่การแสดง และผู้ชมโดยทั่วกัน,เป็น | ระบำ | เบิกโรง | ละครใน | พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว | โปรด | ให้ | ประดิษฐ์ | ขึ้น | ใหม่ | โดย | ใช้ | ผู้แสดง | สอง | คน | แต่งกายยืนเครื่องพระ |   | มือขวา | ถือ | ดอกไม้ทอง | ส่วน | มือซ้าย | ถือ | ดอกไม้เงิน |   | ร่ายรำ | ตาม | บทร้อง | และ | ทำนองเพลง |   | มุ่ง | ให้ | เกิด | ความ | สวัสดิมงคล | แก่ | การแสดง |   | และ | ผู้ชม | โดย | ทั่วกัน
89,รำประเลง,เป็นการรำเบิกโรงละครใน อันมีมาแต่โบราณโดยถือกันว่า เป็นประเพณีที่ต้องแสดงก่อนเริ่มการแสดงเรื่องใหญ่ ใช้ผู้แสดงแต่งกายยืนเครื่องพระและสวมหัวเทวดาโล้น ปิดหน้า 2 คน สมมติว่าเป็นเทวดาถือหางนกยูงทั้งสองมือ ออกมารำตามทำนองเพลงหน้าพาทย์ ซึ่งอาจใช้เพลงกลมหรือโคมเวียน แล้วออกด้วยเพลงชำนาญ อันเป็นเพลงประกอบอิริยาบถไปมาของผู้มีอิทธิฤทธิ์ศักดิ์สิทธิ์ เพื่อให้เกิดสวัสดิมงคลและปัดรังควาญ ป้องกันเสนียดจัญไร ที่จะเป็นอุปสรรคแก่การแสดงต่อไป,เป็น | การรำ | เบิกโรง | ละครใน |   | อัน | มี | มา | แต่ | โบราณ | โดย | ถือ | กัน | ว่า |   | เป็น | ประเพณี | ที่ | ต้อง | แสดง | ก่อน | เริ่ม | การแสดง | เรื่องใหญ่ |   | ใช้ | ผู้แสดง | แต่งกายยืนเครื่องพระ | และ | สวม | หัว | เทวดา | โล้น |   | ปิดหน้า |   | 2 |   | คน |   | สมมติ | ว่า | เป็น | เทวดา | ถือ | หางนกยูง | ทั้งสอง | มือ |   | ออกมา | รำ | ตาม | ทำนอง | เพลงหน้าพาทย์ |   | ซึ่ง | อาจ | ใช้ | เพลงกลม | หรือ | โคมเวียน |   | แล้ว | ออก | ด้วย | เพลงชำนาญ |   | อันเป็น | เพลง | ประกอบ | อิริยาบถ | ไปมา | ของ | ผู้ | มี | อิทธิฤทธิ์ | ศักดิ์สิทธิ์ |   | เพื่อให้ | เกิด | สวัสดิมงคล | และ | ปัด | รังควาญ |   | ป้องกัน | เสนียดจัญไร |   | ที่จะ | เป็น | อุปสรรค | แก่ | การแสดง | ต่อไป
90,รำฝรั่งคู่,เป็นการแสดงรำคู่ชุดหนึ่ง ผู้แสดงร่ายรำด้วยลีลาประกอบทำนองเพลงฝรั่งรำเท้า ตะเขิ่ง เจ้าเซ็น เพลงเร็ว เพลงฉิ่ง จีนรัว จีนรำพัดและจีนถอนแต่งกายยืนเครื่องพระ-นาง มือทั้งสองถือพัดประกอบการร่ายรำ ในช่วงท้ายของการแสดง,เป็น | การแสดง | รำคู่ | ชุด | หนึ่ง |   | ผู้แสดง | ร่ายรำ | ด้วย | ลีลา | ประกอบ | ทำนอง | เพลงฝรั่งรำเท้า |   | ตะเขิ่ง |   | เจ้าเซ็น |   | เพลงเร็ว |   | เพลงฉิ่ง |   | จีนรัว |   | จีนรำพัด | และ | จีนถอน | แต่งกายยืนเครื่องพระ-นาง |   | มือ | ทั้งสอง | ถือ | พัด | ประกอบ | การร่ายรำ |   | ใน | ช่วง | ท้าย | ของ | การแสดง
91,รำพลายชุมพล,การรำพลายชุมพลแต่งตัวเป็นการรำเดี่ยวที่อยู่ในละครเสภา เรื่องขุนช้างขุนแผน ตอนพระไวยแตกทัพ ในตอนนี้ได้กล่าวถึงพลายชุมพล จะออกไปทำศึกกับพระไวย โดยปลอมตัวเป็นมอญไปออกรบกับพระไวย เพื่อหวังคิดแก้แค้นที่พระไวยเคยมีวาจาล่วงเกินตน ใช้ทำนองเพลงมอญดูดาวประกอบถึงเนื้อเรื่องบรรยายถึงการแต่งตัวแสดงให้เห็นถึงความองอาจสง่างามของตัวละครพลายชุมพล,การรำ | พลายชุมพล | แต่งตัว | เป็นการ | รำเดี่ยว | ที่อยู่ | ใน | ละคร | เสภา |   | เรื่อง | ขุนช้าง | ขุนแผน |   | ตอน | พระไวย | แตกทัพ |   | ใน | ตอนนี้ | ได้ | กล่าวถึง | พลายชุมพล |   | จะ | ออก | ไป | ทำศึก | กับ | พระไวย |   | โดย | ปลอมตัว | เป็น | มอญ | ไป | ออกรบ | กับ | พระไวย |   | เพื่อ | หวัง | คิด | แก้แค้น | ที่ | พระไวย | เคย | มี | วาจา | ล่วงเกิน | ตน |   | ใช้ | ทำนอง | เพลงมอญดูดาว | ประกอบ | ถึง | เนื้อเรื่อง | บรรยาย | ถึง | การ | แต่งตัว | แสดงให้เห็น | ถึง | ความ | องอาจ | สง่างาม | ของ | ตัวละคร | พลายชุมพล
92,รำมโนห์ราบูชายัญ,เป็นการแสดงรำเดี่ยว กล่าวถึงนางมโนห์รา มนุษย์ผู้หญิงที่มีปีกหางประดุจนก การแสดงมุ่งเน้นลีลาการร่ายรำรอบกองไฟ ในพิธีบูชายัญก่อนบินหนีกลับไปยังเขาไกรลาส,เป็น | การแสดง | รำเดี่ยว |   | กล่าวถึง | นาง | มโนห์รา |   | มนุษย์ | ผู้หญิง | ที่ | มี | ปีก | หาง | ประดุจ | นก |   | การแสดง | มุ่งเน้น | ลีลา | การร่ายรำ | รอบ | กองไฟ |   | ใน | พิธี | บูชายัญ | ก่อน | บินหนี | กลับ | ไป | ยัง | เขาไกรลาส
93,รำแม่บท,เป็นรำมาตรฐานใช้สำหรับการฝึกหัดเบื้องต้นด้านนาฏศิลป์ไทย บทร้องกำหนดชื่อท่ารำไว้อย่างชัดเจน แต่งกายยืนเครื่องพระ-นาง รำแม่บทนี้เป็นต้นแบบในการสร้างกระบวนท่ารำในการแสดงชุดต่าง ๆ,เป็น | รำมาตรฐาน | ใช้ | สำหรับ | การ | ฝึกหัด | เบื้องต้น | ด้าน | นาฏศิลป์ | ไทย |   | บทร้อง | กำหนด | ชื่อ | ท่า | รำ | ไว้ | อย่าง | ชัดเจน |   | แต่งกายยืนเครื่องพระ-นาง |   | รำ | แม่บท | นี้ | เป็นต้นแบบ | ใน | การ | สร้าง | กระบวนท่ารำ | ใน | การแสดง | ชุด | ต่าง ๆ
94,หนุมานจับนางเบญกาย ,หนุมานจับนางเบญกาย เป็นการแสดงชุดหนึ่งอยู่ในการแสดงโขนเรื่องรามเกียรติ์ แสดงถึงลีลาร่ายรำในการไล่ติดตามและเกี้ยวพาราสีระหว่างหนุมานซึ่งเป็นวานรกับนางเบญกายซึ่งเป็นยักษิณี จากมูลเหตุที่นางเบญกายได้รับคำสั่งจากทศกัณฐ์ให้ปลอมเป็นนางสีดาแสร้งตายลอยน้ำเป็นอุบายให้พระรามยกทัพกลับไป แต่ถูกพิสูจน์เพื่อหาตัวตนแท้จริงโดยการนำไปเผาไฟ เมื่อนางทนต่อความร้อนไม่ได้จึงคืนร่างกลับดังเดิม แล้วพยายามเหาะหลบหนี แต่หนุมานไล่ตามจับไว้ได้,หนุมาน | จับนาง | เบญกาย |   | เป็น | การแสดง | ชุด | หนึ่ง | อยู่ | ใน | การแสดง | โขน | เรื่อง | รามเกียรติ์ |   | แสดงถึง | ลีลา | ร่ายรำ | ใน | การ | ไล่ติดตาม | และ | เกี้ยวพาราสี | ระหว่าง | หนุมาน | ซึ่ง | เป็น | วานร | กับ | นาง | เบญกาย | ซึ่ง | เป็น | ยักษิณี |   | จาก | มูลเหตุ | ที่ | นาง | เบญกาย | ได้รับ | คำสั่ง | จาก | ทศกัณฐ์ | ให้ | ปลอม | เป็น | นางสีดา | แสร้ง | ตาย | ลอยน้ำ | เป็น | อุบาย | ให้ | พระราม | ยกทัพ | กลับ | ไป |   | แต่ | ถูก | พิสูจน์ | เพื่อ | หา | ตัวตน | แท้จริง | โดย | การนำ | ไป | เผา | ไฟ |   | เมื่อ | นาง | ทน | ต่อ | ความร้อน | ไม่ | ได้ | จึง | คืน | ร่าง | กลับ | ดังเดิม |   | แล้ว | พยายาม | เหาะ | หลบหนี |   | แต่ | หนุมาน | ไล่ตาม | จับ | ไว้ | ได้
95,หนุมานจับนางสุพรรณมัจฉา,หนุมานจับนางสุพรรณมัจฉา เป็นการแสดงชุดหนึ่งอยู่ในการแสดงโขนเรื่องรามเกียรติ์ กระบวนท่ารำสื่อถึงการไล่จับ และการเกี้ยวพาราสีของตัวละครระหว่างหนุมานซึ่งเป็นวานรกับนางสุพรรณมัจฉาซึ่งเป็นผู้หญิงที่มีหางเป็นปลา จากมูลเหตุที่นางสุพรรณมัจฉาพาเหล่าบริวารปลามาคาบก้อนหินเพื่อขัดขวางมิให้กองทัพของพระรามทำถนนข้ามมหาสมุทร เพื่อเดินทางไปช่วยนางสีดาที่กรุงลงกา,หนุมาน | จับนาง | สุพรรณมัจฉา |   | เป็น | การแสดง | ชุด | หนึ่ง | อยู่ | ใน | การแสดง | โขน | เรื่อง | รามเกียรติ์ |   | กระบวนท่ารำ | สื่อ | ถึง | การ | ไล่จับ |   | และ | การเกี้ยวพาราสี | ของ | ตัวละคร | ระหว่าง | หนุมาน | ซึ่ง | เป็น | วานร | กับ | นาง | สุพรรณมัจฉา | ซึ่ง | เป็น | ผู้หญิง | ที่ | มี | หาง | เป็น | ปลา |   | จาก | มูลเหตุ | ที่ | นาง | สุพรรณมัจฉา | พา | เหล่า | บริวาร | ปลา | มา | คาบ | ก้อนหิน | เพื่อ | ขัดขวาง | มิ | ให้ | กองทัพ | ของ | พระราม | ทำ | ถนน | ข้าม | มหาสมุทร |   | เพื่อ | เดินทาง | ไป | ช่วย | นางสีดา | ที่ | กรุงลงกา
96,ระบำเซียงแสน,เป็นระบำโบราณคดีที่สร้างสรรค์ท่ารำจากภาพจิตรกรรมฝาผนังและลายปูนปั้นยุคอาณาจักรเชียงแสน ประมาณพุทธศตวรรษที่ 16 - 23 ที่ปรากฏในโบราณสถาน ลีลาท่ารำและเสียงดนตรีภาคเหนือและภาคตะวันออกเฉียงเหนือ,เป็น | ระบำโบราณคดี | ที่ | สร้างสรรค์ | ท่า | รำ | จาก | ภาพจิตรกรรมฝาผนัง | และ | ลาย | ปูนปั้น | ยุค | อาณาจักร | เชียงแสน |   | ประมาณ | พุทธศตวรรษ | ที่ |   | 16 |   | - |   | 23 |   | ที่ | ปรากฏ | ใน | โบราณสถาน |   | ลีลา | ท่า | รำ | และ | เสียงดนตรี | ภาคเหนือ | และ | ภาค | ตะวันออกเฉียงเหนือ
97,ระบำทวารวดี ,เป็นระบำโบราณคดีที่สร้างสรรค์ท่ารำจากโบราณวัตถุภาพจิตรกรรมและประติมากรรม ในสมัยทวารวดีประมาณพุทธศตวรรษที่ 12 - 16 ลีลาท่ารำและเสียงดนตรี ตลอดจนเครื่องแต่งกายมีแบบอย่างจากเชื้อชาติมอญ อันเป็นชนเผ่าดั้งเดิมในดินแดนทวารวดี,เป็น | ระบำโบราณคดี | ที่ | สร้างสรรค์ | ท่า | รำ | จาก | โบราณวัตถุ | ภาพ | จิตรกรรม | และ | ประติมากรรม |   | ใน | สมัยทวารวดี | ประมาณ | พุทธศตวรรษ | ที่ |   | 12 |   | - |   | 16 |   | ลีลา | ท่า | รำ | และ | เสียงดนตรี |   | ตลอดจน | เครื่องแต่งกาย | มี | แบบอย่าง | จาก | เชื้อชาติ | มอญ |   | อันเป็น | ชน | เผ่า | ดั้งเดิม | ใน | ดินแดน | ทวารวดี
98,ระบำลพบุรี,เป็นระบำโบราณคดีที่สร้างสรรค์ท่ารำเลียนแบบประติมากรรมและภาพจำหลักสมัยลพบุรี ที่ปรากฏบนทับหลังและหน้าบันของปราสาทหินพิมาย จังหวัดนครราชสีมา และปราสาทพนมรุ้ง จังหวัดบุรีรัมย์ อันเป็นศิลปะแบบขอมระหว่างพุทธศตวรรษที่ 12 - 13 ดังนั้น วัฒนธรรมจากดินแดนในยุคนี้ จึงส่งผลต่อการสร้างสรรค์ท่ารำ ดนตรี และเครื่องแต่งกาย,เป็น | ระบำโบราณคดี | ที่ | สร้างสรรค์ | ท่า | รำ | เลียนแบบ | ประติมากรรม | และ | ภาพจำหลัก | สมัยลพบุรี |   | ที่ | ปรากฏ | บน | ทับหลัง | และ | หน้าบัน | ของ | ปราสาทหินพิมาย |   | จังหวัด | นครราชสีมา |   | และ | ปราสาทพนมรุ้ง |   | จังหวัด | บุรีรัมย์ |   | อันเป็น | ศิลปะ | แบบ | ขอม | ระหว่าง | พุทธศตวรรษ | ที่ |   | 12 |   | - |   | 13 |   | ดังนั้น |   | วัฒนธรรม | จาก | ดินแดน | ใน | ยุค | นี้ |   | จึง | ส่งผล | ต่อ | การ | สร้างสรรค์ | ท่า | รำ |   | ดนตรี |   | และ | เครื่องแต่งกาย
99,ระบำศรีวิชัย,เป็นระบำโบราณคดีที่สร้างสรรค์ท่ารำจากหลักฐานศิลปกรรมและโบราณวัตถุสมัยศรีวิชัย มีอาณาจักรตั้งอยู่บนแหลมมลายู บริเวณจังหวัดชุมพร ปัตตานี นครศรีธรรมราชและหมู่เกาะอินโดนีเซีย ราวพุทธศตวรรษที่ 13-18 ดังนั้น วัฒนธรรมจากดินแดนในยุคนี้ จึงส่งผลต่อการสร้างสรรค์ท่ารำ ดนตรี และเครื่องแต่งกาย,เป็น | ระบำโบราณคดี | ที่ | สร้างสรรค์ | ท่า | รำ | จาก | หลักฐาน | ศิลปกรรม | และ | โบราณวัตถุ | สมัยศรีวิชัย |   | มี | อาณาจักร | ตั้งอยู่ | บน | แหลมมลายู |   | บริเวณ | จังหวัด | ชุมพร |   | ปัตตานี |   | นครศรีธรรมราช | และ | หมู่เกาะ | อินโดนีเซีย |   | ราว | พุทธศตวรรษ | ที่ |   | 13 | - | 18 |   | ดังนั้น |   | วัฒนธรรม | จาก | ดินแดน | ใน | ยุค | นี้ |   | จึง | ส่งผล | ต่อ | การ | สร้างสรรค์ | ท่า | รำ |   | ดนตรี |   | และ | เครื่องแต่งกาย
100,ระบำสุโขทัย,เป็นระบำโบราณคดีที่สร้างสรรค์ท่ารำจากประติมากรรมพระพุทธรูปปูนปั้นและพระพุทธรูปหล่อสำริดปางลีลาสมัยสุโขทัยระหว่างพุทธศตวรรษที่ 19 - 20 ดังนั้น ท่ารำและดนตรีตลอดจนเครื่องแต่งกายจึงมีรูปแบบจากสมัยสุโขทัย,เป็น | ระบำโบราณคดี | ที่ | สร้างสรรค์ | ท่า | รำ | จาก | ประติมากรรม | พระพุทธรูป | ปูนปั้น | และ | พระพุทธรูป | หล่อสำริด | ปางลีลา | สมัยสุโขทัย | ระหว่าง | พุทธศตวรรษ | ที่ |   | 19 |   | - |   | 20 |   | ดังนั้น |   | ท่า | รำ | และ | ดนตรี | ตลอดจน | เครื่องแต่งกาย | จึง | มี | รูปแบบ | จาก | สมัยสุโขทัย
101,ฉุยฉายทศกัณฐ์ลงสวน,เป็นการแสดงชุดหนึ่งในการแสดงโขนเรื่องรามเกียรติ์ กล่าวถึงทศกัณฐ์เจ้ากรุงลงกาแสดงลีลาท่ารำด้วยความภาคภูมิใจในความสง่างามของตน โดยมือขวาถือพัดและคล้องพวงมาลัยเพื่อไปเกี้ยวนางสีดา,เป็น | การแสดง | ชุด | หนึ่ง | ใน | การแสดง | โขน | เรื่อง | รามเกียรติ์ |   | กล่าวถึง | ทศกัณฐ์ | เจ้า | กรุงลงกา | แสดง | ลีลา | ท่า | รำ | ด้วย | ความภาคภูมิใจ | ใน | ความสง่างาม | ของ | ตน |   | โดย | มือขวา | ถือ | พัด | และ | คล้อง | พวงมาลัย | เพื่อ | ไป | เกี้ยว | นางสีดา
102,ฉุยฉายเบญกาย,เป็นการแสดงชุดหนึ่งในการแสดงโขนเรื่องรามเกียรติ์กล่าวถึงนางเบญกาย แสดงลีลาท่ารำด้วยความภาคภูมิใจในความงามของตนที่สามารถแปลงกายได้งดงามเหมือนนางสีดา เพื่อทำอุบายตามคำสั่งของทศกัณฐ์ ในการยุติสงครามกับพระราม,เป็น | การแสดง | ชุด | หนึ่ง | ใน | การแสดง | โขน | เรื่อง | รามเกียรติ์ | กล่าวถึง | นาง | เบญกาย |   | แสดง | ลีลา | ท่า | รำ | ด้วย | ความภาคภูมิใจ | ใน | ความงาม | ของ | ตน | ที่ | สามารถ | แปลงกาย | ได้ | งดงาม | เหมือน | นางสีดา |   | เพื่อ | ทำ | อุบาย | ตามคำสั่ง | ของ | ทศกัณฐ์ |   | ใน | การยุติ | สงคราม | กับ | พระราม
103,ฉุยฉายพราหมณ์,เป็นการแสดงชุดหนึ่งปรากฏในการแสดงเบิกโรงชุดพระคเณศเสียงา กล่าวถึง พระนารายณ์แปลงกายเป็นพราหมณ์น้อย ร่ายรำอย่างงดงามเพื่อขอพรต่อพระอุมามเหสีของพระอิศวร ผู้เป็นเทพเจ้าองค์หนึ่งตามความเชื่อของชาวฮินดู,เป็น | การแสดง | ชุด | หนึ่ง | ปรากฏ | ใน | การแสดง | เบิกโรง | ชุด | พระคเณศ | เสีย | งา |   | กล่าวถึง |   | พระนารายณ์ | แปลงกาย | เป็น | พราหมณ์ | น้อย |   | ร่ายรำ | อย่าง | งดงาม | เพื่อ | ขอพร | ต่อ | พระอุมา | มเหสี | ของ | พระอิศวร |   | ผู้ | เป็น | เทพเจ้า | องค์ | หนึ่ง | ตาม | ความเชื่อ | ของ | ชาว | ฮินดู
104,ฉุยฉายยอพระกลิ่น,ฉุยฉายยอพระกลิ่น เป็นการแสดงชุดหนึ่งในการแสดงละครนอก เรื่องมณีพิชัย กล่าวถึงนางยอพระกลิ่นนางเอกของเรื่องแสดงลีลาท่ารำด้วยความภาคภูมิใจในความงามของตนก่อนออกเดินทางไปพบพระมณีพิชัยผู้เป็นพระสวามี,ฉุยฉาย | ยอพระกลิ่น |   | เป็น | การแสดง | ชุด | หนึ่ง | ใน | การแสดง | ละครนอก |   | เรื่อง | มณีพิชัย |   | กล่าวถึง | นาง | ยอพระกลิ่น | นางเอก | ของ | เรื่อง | แสดง | ลีลา | ท่า | รำ | ด้วย | ความภาคภูมิใจ | ใน | ความงาม | ของ | ตน | ก่อน | ออกเดินทาง | ไป | พบ | พระ | มณีพิชัย | ผู้ | เป็น | พระสวามี
